Q1: revised codes,Q1: themes,Q2,Q2: other,Q3,Q4,Q5: revised codes,Q6: revised codes,Q7,Q7: other,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q9: revised codes,Q9: themes,Q10,Q10: other,Q11,Q11: other,Q12,Q13,Q13: other,Q14
,Other / hybrid / unclear,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,Yes,Yes,,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models)",,3,5,6,4,7,1,8,2,,,MRI,,PhD Student,,25â 34,Man,,Australia
,,"A latent-variable model that explains data in terms of hidden causes regardless of whether it explicitly simulates data  (e.g., Bayesian causal model, hierarchical latent-cause models).",,No,No,,,"Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines)",,1,3,2,4,5,6,7,8,Visual analysis,Appropriateness of assumptions,Other (please specify),Other,Postdoctoral researcher,,35â 44,Man,,Australia
,,Other (please specify).,All of the above,No,No,,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Encoding/decoding models (e.g., generative encoding models, latent-variable models)",,2,4,8,3,6,1,7,5,,,Methods development / computational modeling,,PI / Group leader,,35â 44,Prefer not to say,,USA
,,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,Yes: Diffusion model; No: General linear model,,"Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines),Normative modeling/deviation maps (e.g., hierarchical Bayesian normative models, Gaussian processes)",,2,6,5,3,1,4,7,8,Falsifiability,Model comparison and falsifiability,Methods development / computational modeling,,PI / Group leader,,55â 64,Man,,UK
,,"A latent-variable model that explains data in terms of hidden causes regardless of whether it explicitly simulates data  (e.g., Bayesian causal model, hierarchical latent-cause models).",,Yes,Yes,Yes: Retrieval-augmented generation model; No: K-means clustering,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines),Normative modeling/deviation maps (e.g., hierarchical Bayesian normative models, Gaussian processes),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping),Simulation-based inference / likelihood-free inference",,8,6,3,4,1,2,5,7,Out-of-sample validity,Generalization,EEG,,,,Prefer not to say,Prefer not to say,,Australia
,,"A statistical model that learns a data distribution and can sample new data (e.g., variational autoencoder, diffusion models, generative adversarial networks).",,No,No,,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,1,4,5,6,7,2,8,3,,,Multimodal imaging,,Other (please specify),Professor,45â 54,Woman,,
,,"A statistical model that learns a data distribution and can sample new data (e.g., variational autoencoder, diffusion models, generative adversarial networks).",,Yes,Yes,,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines)",,1,7,8,5,4,3,6,2,,,MRI,,Postdoctoral researcher,,25â 34,Woman,,Italy
,,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Normative modeling/deviation maps (e.g., hierarchical Bayesian normative models, Gaussian processes)",,8,2,6,3,4,1,7,5,,,MRI,,PhD Student,,25â 34,Woman,,Australia
,,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,Yes,No: General linear model,,"Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines),Encoding/decoding models (e.g., generative encoding models, latent-variable models),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,2,4,5,6,1,7,8,3,,,Methods development / computational modeling,,PI / Group leader,,35â 44,Prefer not to say,,
,,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines),Normative modeling/deviation maps (e.g., hierarchical Bayesian normative models, Gaussian processes)",,1,2,3,4,5,6,7,8,,,Multimodal imaging,,PI / Group leader,,55â 64,Woman,,USA
,,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,No,Yes,,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models)",,2,4,7,5,3,1,8,6,,,MRI,,PI / Group leader,,45â 54,Woman,,
,,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,No,Yes,,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models)",,7,8,6,5,1,4,3,2,,,EEG,,Postdoctoral researcher,,25â 34,Woman,,Australia
,,"A statistical model that learns a data distribution and can sample new data (e.g., variational autoencoder, diffusion models, generative adversarial networks).",,Yes,No,,,"Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,1,5,7,6,2,8,3,4,,,Multimodal imaging,,PI / Group leader,,25â 34,Man,,UK
,,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,Yes,No,,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models)",,4,5,7,1,6,2,8,3,,,MRI,,Postdoctoral researcher,,25â 34,Man,,Belgium
,,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Encoding/decoding models (e.g., generative encoding models, latent-variable models),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,1,7,8,2,6,3,5,4,,,MRI,,PI / Group leader,,55â 64,Man,,USA
,,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,Yes,Yes,,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models)",,2,7,5,3,1,6,8,4,,,MRI,,Postdoctoral researcher,,25â 34,Woman,,
,,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,Yes,Yes,,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Simulation-based inference / likelihood-free inference",,1,5,3,2,4,6,7,8,,,MRI,,PI / Group leader,,45â 54,Man,,
,,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,,,"Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models)",,6,7,2,4,3,5,8,1,,,EEG,,PhD Student,,45â 54,Woman,,
,,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,,,"Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines),Encoding/decoding models (e.g., generative encoding models, latent-variable models),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,5,1,6,3,2,8,4,7,,,Methods development / computational modeling,,PI / Group leader,,45â 54,Man,,
Artificial intelligence; Chatbots,Simulation / synthetic data,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,Yes,Yes: Generative adversarial network; No: U-Net,,"Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines),Encoding/decoding models (e.g., generative encoding models, latent-variable models),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,,,,,,,,,,,MRI,,PhD Student,,25â 34,Prefer not to say,,
,,"A statistical model that learns a data distribution and can sample new data (e.g., variational autoencoder, diffusion models, generative adversarial networks).",,Yes,No,,,,,3,4,5,6,2,1,8,7,,,Multimodal imaging,,,,,,,
,,"A latent-variable model that explains data in terms of hidden causes regardless of whether it explicitly simulates data  (e.g., Bayesian causal model, hierarchical latent-cause models).",,No,No,No: Eigenmodes,,"Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models)",,,,,,,,,,,,MRI,,PhD Student,,25â 34,Prefer not to say,,
,Other / hybrid / unclear,Other (please specify).,Unsure,,,,,,,,,,,,,,,,,Multimodal imaging,,PI / Group leader,,65 or older,Man,,USA
Artificial intelligence; chatbots,Other / hybrid / unclear,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,Yes,Yes: Artificial neural networks,Synthetic data,,,,,,,,,,,,,,,,,,,,
Prediction of future values based on past values,Simulation / synthetic data,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,Yes,Yes: Autoregressive models; No: Machine learning,Causal,,,,,,,,,,,,,,,,,,,,
,Other / hybrid / unclear,"A statistical time-series model that generates data via dependencies on past values (e.g., autoregressive model, autoregressive moving average model).",,No,Yes,,,Simulation-based inference / likelihood-free inference,,,,,,,,,,,,,,,,,,,
Artificial intelligence; Chatbots,Other / hybrid / unclear,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,No,No,,,,,,,,,,,,,,,,,,,,,,
,Other / hybrid / unclear,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,Yes,No,,,,,,,,,,,,,,,,,,,,,,
,,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines)",,,,,,,,,,,,,,,,,,,
,,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,No,Yes,,,"Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines)",,,,,,,,,,,,,,,,,,,
,,"A statistical model that learns a data distribution and can sample new data (e.g., variational autoencoder, diffusion models, generative adversarial networks).",,No,No,,,,,,,,,,,,,,,,,,,,,,
,,"A statistical model that learns a data distribution and can sample new data (e.g., variational autoencoder, diffusion models, generative adversarial networks).",,Yes,No,,,,,,,,,,,,,,,,,,,,,,
,,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,,,,,,,,,,,,,,,,,,,,,,,,
