Q1: revised codes,Q1: themes,Q2,Q2: other,Q3,Q4,Q5: revised codes,Q6: revised codes,Q7,Q7: other,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q9: revised codes,Q9: themes,Q10,Q10: other,Q11,Q11: other,Q12,Q13,Q13: other,Q14
Simulates data,Simulation / synthetic data,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,Yes: Dynamic causal models; No: Functional connectivity,Functional connectivity,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines),Encoding/decoding models (e.g., generative encoding models, latent-variable models),Simulation-based inference / likelihood-free inference",,2,6,7,8,3,1,5,4,Out-of-sample validity; Biological interpretability,Generalization,Multimodal imaging,,PI / Group leader,,45â 54,Woman,,Australia
Biological detail; Explicit rules,Other / hybrid / unclear,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,No,Yes,Yes: Dynamic causal models; No: General linear model,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Simulation-based inference / likelihood-free inference",,2,3,7,4,6,1,8,5,Do not impute qualities of the model to the system,Appropriateness of assumptions,Methods development / computational modeling,,PI / Group leader,,45â 54,Man,,Belgium
Artificial intelligence; Chatbots,Other / hybrid / unclear,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,Yes,Yes: Large language model; No: Brain Age,Brain Age,Other (please specify),Large language models,4,5,6,7,3,8,1,2,Check sources,Appropriateness of assumptions,MRI,,Postdoctoral researcher,,25â 34,Man,,UK
Simulates data,Other / hybrid / unclear,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,Yes,No,Ys: Large language model; No: General linear model,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Normative modeling/deviation maps (e.g., hierarchical Bayesian normative models, Gaussian processes)",,3,1,6,5,4,2,8,7,,,Clinical research / translation neuroscience,,Postdoctoral researcher,,25â 34,Man,,Australia
Joint distribution,Simulation / synthetic data,"A statistical model that learns a data distribution and can sample new data (e.g., variational autoencoder, diffusion models, generative adversarial networks).",,Yes,No,Yes: General linear model; No: Support vector machine,Prediction,"Encoding/decoding models (e.g., generative encoding models, latent-variable models)",,2,3,5,4,1,8,6,7,Bayesain inference and model comparison,Model comparison and falsifiability,Methods development / computational modeling,,Postdoctoral researcher,,35â 44,Man,,Germany
Simulates data,Mechanistic / biophysical models,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,Yes: Autoencoder; No: Statistics,,"Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,4,5,2,6,1,7,8,3,Avoid data leakage,Simulation realism,MRI,,PI / Group leader,,45â 54,Man,,Australia
Simulates data,Mechanistic / biophysical models,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,Yes,No,Yes: Bayesian models,Brain dynamics,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,1,2,3,4,5,6,7,8,Look for convergences between model-free and biophysical models,Model comparison and falsifiability,Clinical research / translation neuroscience,,PI / Group leader,,Prefer not to say,Woman,,USA
Simulates data; Biological detail,Mechanistic / biophysical models,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,No,No,Yes: Dynamic causal models; No: Autoregressive models,Prediction,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Normative modeling/deviation maps (e.g., hierarchical Bayesian normative models, Gaussian processes),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,3,1,7,4,2,6,8,5,Out-of-sample validity,Generalization,EEG,,Postdoctoral researcher,,25â 34,Prefer not to say,,
Simulates data,Probabilistic / Bayesian models,"A statistical model that learns a data distribution and can sample new data (e.g., variational autoencoder, diffusion models, generative adversarial networks).",,Yes,No,Yes: Variational autoencoder; No: General linear model,Prediction,"Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Encoding/decoding models (e.g., generative encoding models, latent-variable models)",,1,4,5,6,3,7,8,2,,,MRI,,PhD Student,,25â 34,Man,,USA
Artificial intelligence; Chatbots,Content-producing AI (text/image),"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,,Generative,Other (please specify),,1,4,2,3,8,5,7,6,,,MRI,,PI / Group leader,,45â 54,Man,,USA
Simulates data; Explicit rules,Simulation / synthetic data,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,No,No,No: Artificial neural network,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Normative modeling/deviation maps (e.g., hierarchical Bayesian normative models, Gaussian processes),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping),Simulation-based inference / likelihood-free inference",,3,6,7,5,2,1,8,4,Biological interpretability; Out-of-sample accuracy,Interpretability,MRI,,Postdoctoral researcher,,25â 34,Man,,Australia
Structure learning (without explicit simulation of data),Other / hybrid / unclear,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,Yes,No,Yes: Autoencoder; No: Attentional models,Model,"Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines),Encoding/decoding models (e.g., generative encoding models, latent-variable models),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,8,3,5,6,4,1,2,7,,,Multimodal imaging,,Postdoctoral researcher,,35â 44,Woman,,Finland 
Biological detail; Inference over latent causes,Mechanistic / biophysical models,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,Yes,No,Yes: Dynamic causal models; No: Support vector machine,Effective connectivity,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models)",,2,1,3,4,5,6,7,8,,,MRI,,PI / Group leader,,35â 44,Man,,South Korea
Simulates data; Bayesian; Joint distribution,Simulation / synthetic data,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,Yes,No,Yes: Autoencoder,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models),Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,1,8,3,4,6,2,7,5,Start with fewest parameters,Appropriateness of assumptions,Methods development / computational modeling,,Postdoctoral researcher,,35â 44,Woman,,USA
Simulates data,Content-producing AI (text/image),"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,Yes: Reinforcement learning; No: t-statistic,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models)",,6,2,1,3,7,4,8,5,Biological interpretability,Interpretability,MRI,,Postdoctoral researcher,,35â 44,Woman,,UK
Describes distribution of input data,Other / hybrid / unclear,"A statistical model that learns a data distribution and can sample new data (e.g., variational autoencoder, diffusion models, generative adversarial networks).",,No,No,Yes: Diffusion model; No: Latent Dirichlet allocation,Digital twin; Normative modeling,"Normative modeling/deviation maps (e.g., hierarchical Bayesian normative models, Gaussian processes),Encoding/decoding models (e.g., generative encoding models, latent-variable models),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,2,5,3,8,7,4,6,1,,,MRI,,PhD Student,,25â 34,Woman,,Australia
Simulates data; Biological detail; Explicit rules,Other / hybrid / unclear,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,No,No,Yes: Dynamic causal models; No: Correlations,Generative model,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models)",,3,7,5,6,4,1,8,2,,,Clinical research / translation neuroscience,,Postdoctoral researcher,,25â 34,Woman,,Germany
Simulates data; Biological detail; Explicit rules,Mechanistic / biophysical models,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,No,No,Yes: Dynamic causal models; No: Machine learning,Machine learning,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines),Encoding/decoding models (e.g., generative encoding models, latent-variable models)",,6,1,3,4,5,2,8,7,Appropriateness of the model and data,Appropriateness of assumptions,MRI,,Postdoctoral researcher,,35â 44,Woman,,Australia
Simulates datal; Learning joint distribution,Other / hybrid / unclear,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,Yes,Yes: Generative adversarial network: No: General linear model,,"Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines),Encoding/decoding models (e.g., generative encoding models, latent-variable models)",,5,6,1,3,4,8,7,2,Out-of-sample validity,Generalization,MRI,,PI / Group leader,,35â 44,Man,,USA
Joint distribution; Explicit rules; Simulates data,Probabilistic / Bayesian models,"A mechanistic model that simulates observed data via an explicit forward process (e.g., neuronalâ hemodynamic model, biophysical state-space model, dynamic causal modeling).",,Yes,Yes,Yes: Dynamic causal models; No: Correlations,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Encoding/decoding models (e.g., generative encoding models, latent-variable models),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,1,2,5,3,4,6,8,7,Free energy and out-of-sample validity,Generalization; Model comparison and falsifiability,MRI,,PI / Group leader,,35â 44,Man,,UK
Artificial intelligence; Chatbots,Simulation / synthetic data,"A statistical model that learns a data distribution and can sample new data (e.g., variational autoencoder, diffusion models, generative adversarial networks).",,No,Yes,Yes: Diffusion model; No: General linear model,,"Synthetic data/augmentation (e.g., variational autoencoders, generative adversarial networks, diffusion models, simulation pipelines)",,4,7,8,5,1,6,3,2,Biological interpretability,Interpretability,Methods development / computational modeling,,PI / Group leader,,45â 54,Man,,France
Simulates data; Explicit rules,Other / hybrid / unclear,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,Yes,,,Other (please specify),,2,6,3,7,8,4,5,1,Use generative models for exploration only,Appropriateness of assumptions,Multimodal imaging,,PI / Group leader,,45â 54,Woman,,USA
Simulates data,Simulation / synthetic data,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,,,Other (please specify),,3,7,8,6,1,2,5,4,,,Methods development / computational modeling,,PI / Group leader,,35â 44,Man,,Australia
Artificial intelligence; Chatbots,Content-producing AI (text/image),"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,,,"Normative modeling/deviation maps (e.g., hierarchical Bayesian normative models, Gaussian processes),Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,7,1,4,2,6,3,8,5,,,Multimodal imaging,,PI / Group leader,,45â 54,Woman,,USA
Simulates data; Biological mechanism,Mechanistic / biophysical models,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,No,Yes: Monte Carlo simulation; No: Autoregressive models,,"Mechanistic/biophysical modeling (e.g., neuronalâ haemodynamic models, state-space models, dynamic causal models),Whole-brain dynamical modeling (e.g., network-level simulations, eigenmode-based models)",,3,2,4,5,1,6,7,8,,,MRI,,PhD Student,,65 or older,Man,,Switzerland
Artificial intelligence; Simulates data,Other / hybrid / unclear,"Any model that can produce synthetic data, by any method (mechanistic, probabilistic, or machine learning based).",,No,Yes,,,"Clinical prediction/stratification (e.g., individualised latent-space models, disease subtyping)",,1,6,7,4,2,5,8,3,,,EEG,,Postdoctoral researcher,,35â 44,Man,,Australia
Artificial intelligence; Simulates data,Other / hybrid / unclear,"A statistical model that learns a data distribution and can sample new data (e.g., variational autoencoder, diffusion models, generative adversarial networks).",,Yes,No,,,"Normative modeling/deviation maps (e.g., hierarchical Bayesian normative models, Gaussian processes),Encoding/decoding models (e.g., generative encoding models, latent-variable models)",,5,3,6,7,4,1,8,2,,,EEG,,PI / Group leader,,65 or older,Man,,USA
